onset_time,pitch,velocity_xp,velocity,duration,voice_id,trigger_time
5.459999999999998,79,666.8469344294832,83,0.0315,1,5.442981427174974
5.480000000000003,78,562.9388964673703,70,0.128,100,5.4609481915933555
5.480000000000003,66,622.9388964673703,78,0.128,0,5.462199413489739
5.489999999999998,93,591.367588430664,74,0.0315,101,5.471573802541543
5.489999999999998,81,651.367588430664,81,0.0315,1,5.472668621700878
5.519999999999999,91,663.9978481236172,83,0.0315,101,5.502981427174975
5.519999999999999,79,723.9978481236172,90,0.0315,1,5.50407624633431
5.549999999999999,95,637.45941758402,80,0.0315,101,5.532512218963831
5.549999999999999,83,697.45941758402,87,0.0315,1,5.533607038123166
5.579999999999999,96,668.9680551382397,84,0.063,101,5.563137829912023
5.579999999999999,84,728.9680551382397,91,0.063,1,5.564232649071358
5.639999999999999,95,585.0101240852134,73,0.0315,101,5.621417399804495
5.639999999999999,83,645.0101240852134,81,0.0315,1,5.622668621700878
5.669999999999999,102,547.723256049723,68,0.096,101,5.650635386119256
5.669999999999999,90,607.723256049723,76,0.096,1,5.651886608015639
5.720000000000003,67,582.546550015886,73,0.042,100,5.7014173998045
5.720000000000003,55,642.546550015886,80,0.042,0,5.702512218963835
5.760000000000003,69,595.7457945703833,74,0.042,100,5.741573802541548
5.760000000000003,57,655.7457945703833,82,0.042,0,5.742825024437931
5.800000000000003,67,672.7610807701762,84,0.042,100,5.783137829912027
5.800000000000003,55,732.7610807701762,92,0.042,0,5.78438905180841
5.840000000000003,71,663.383776631547,83,0.042,100,5.822981427174979
5.840000000000003,59,723.383776631547,90,0.042,0,5.8240762463343145
5.849999999999999,91,575.1269546363682,72,0.0315,101,5.831260997067448
5.849999999999999,79,635.1269546363682,79,0.0315,1,5.832355816226783
5.879999999999999,93,592.0588266503659,74,0.0315,101,5.861573802541543
5.879999999999999,81,652.0588266503659,82,0.0315,1,5.862825024437926
5.8800000000000034,72,673.3460398364966,84,0.084,100,5.863137829912027
5.8800000000000034,60,733.3460398364966,92,0.084,0,5.86438905180841
5.909999999999999,91,643.6297396246143,80,0.0315,101,5.892512218963831
5.909999999999999,79,703.6297396246143,88,0.0315,1,5.893763440860214
5.9399999999999995,95,638.2994324140426,80,0.0315,101,5.922512218963831
5.9399999999999995,83,698.2994324140426,87,0.0315,1,5.9236070381231665
5.9600000000000035,71,590.2713284703075,74,0.042,100,5.941573802541548
5.9600000000000035,59,650.2713284703075,81,0.042,0,5.942668621700883
5.97,96,688.9510579041817,86,0.063,101,5.953450635386119
5.97,84,748.9510579041817,94,0.063,1,5.954701857282502
6.0000000000000036,78,542.3010485657046,68,0.128,100,5.9806353861192605
6.0000000000000036,66,602.3010485657046,75,0.128,0,5.981730205278596
6.029999999999999,95,574.3982935431646,72,0.0315,101,6.011260997067448
6.029999999999999,83,634.3982935431646,79,0.0315,1,6.012355816226783
6.06,102,532.8086736079413,67,0.096,101,6.040478983382209
6.06,90,592.8086736079413,74,0.096,1,6.041573802541544
6.240000000000004,67,575.4360048472067,72,0.042,100,6.221260997067453
6.239999999999999,91,598.4355857179394,75,0.0315,101,6.221730205278591
6.240000000000004,55,635.4360048472067,79,0.042,0,6.222355816226788
6.239999999999999,79,658.4355857179394,82,0.0315,1,6.222825024437927
6.27,90,618.605589614492,77,0.0315,101,6.252043010752688
